user,term,time
25,Calculus,9/19/15 5:05
25,Linear Regression,9/19/15 5:05
25,Estimation ,9/19/15 5:05
25,Algorithms,9/19/15 5:05
25, Python Library,9/19/15 5:05
26,R,9/19/15 1:47
26,SAS,9/19/15 1:47
27,Machine Learning,9/19/15 0:33
27,Data Wrangling,9/19/15 0:33
27,HDF,9/19/15 0:33
27,Python,9/19/15 0:33
28,Python,9/18/15 18:58
28,R,9/18/15 18:58
28,MySQL,9/18/15 18:58
28,Python,9/18/15 18:57
28,R,9/18/15 18:57
28,MySQL,9/18/15 18:57
29,Spark,9/18/15 12:26
29,Data Pipelines,9/18/15 12:26
29,Python,9/18/15 12:26
29,Classification,9/18/15 12:26
29,Data Presentation,9/18/15 12:26
29,SQL,9/18/15 12:26
29,Jupyter,9/18/15 12:26
30,Clustering,9/18/15 10:46
30,Perceptron,9/18/15 10:46
30,Modeling,9/18/15 10:46
30,SVM,9/18/15 10:46
30,Classification,9/18/15 10:46
30,HMM,9/18/15 10:46
30,CRF,9/18/15 10:46
31,Python,9/18/15 6:10
31,R,9/18/15 6:10
31,C,9/18/15 6:10
32,R,9/18/15 5:20
32,Clustering,9/18/15 5:20
32,Natural Language Processing,9/18/15 5:20
32,Classification,9/18/15 5:20
33,Problem Solving,9/18/15 1:59
33,Data Wrangling,9/18/15 1:59
33,Software Engineering,9/18/15 1:59
33,Django,9/18/15 1:59
33,PostgreSQL,9/18/15 1:59
33,Software Testing,9/18/15 1:59
33,Python,9/18/15 1:59
33,Programming Best Practices,9/18/15 1:59
33,Critical Thinking,9/18/15 1:59
33,MongoDB,9/18/15 1:59
33,Data Ingestion,9/18/15 1:59
34,Decision Trees,9/17/15 22:43
34,Sentiment Analysis,9/17/15 22:43
34,Visual Analytics,9/17/15 22:43
34,Neural Networks,9/17/15 22:43
34,Graph Algorithms,9/17/15 22:43
34,Relational Databases,9/17/15 22:43
34,Topic Modeling ,9/17/15 22:43
35,R,9/17/15 19:56
35,Modeling,9/17/15 19:56
35,Unit Testing,9/17/15 19:56
35,Sampling,9/17/15 19:56
35,Python,9/17/15 19:56
35,Spatial Statistics,9/17/15 19:56
36,Visualization,9/17/15 17:39
36,Data Quality Assessment,9/17/15 17:39
36,Managing Big Datasets,9/17/15 17:39
36,Experimental Design,9/17/15 17:39
36,Expert Biological Knowledge Integrated With Data Mining,9/17/15 17:39
36,Data Cleaning,9/17/15 17:39
37,Machine Learning,9/17/15 16:09
37,Neutral Networks,9/17/15 16:09
37,Scaling Machine Learning Against Big Data,9/17/15 16:09
37,Non-Structured Data Analysis,9/17/15 16:09
38,Visualization,9/17/15 15:52
38,Scikit-Learn,9/17/15 15:52
38,R,9/17/15 15:52
38,RStudio,9/17/15 15:52
38,SQL,9/17/15 15:52
38,AWS,9/17/15 15:52
38,Hadoop,9/17/15 15:52
38,Pig,9/17/15 15:52
38,Pandas,9/17/15 15:52
38,Numpy,9/17/15 15:52
39,Text Analytics,9/17/15 15:13
39,Computation/Query Optimization,9/17/15 15:13
39,Selling the Benefit of the Analytic Work (Why Should This Project Be Supported),9/17/15 15:13
39,Various Algorithms (Regression - CART / Random Forest - SVM - Etc.),9/17/15 15:13
39,Data Manipulation and Cleaning,9/17/15 15:13
39,Data Visualization,9/17/15 15:13
39,"Problem Definition (In ""Programming"" Terms and ""Business"" Terms)",9/17/15 15:13
40,Visualization,9/17/15 15:08
40,Scikit-Learn,9/17/15 15:08
40,data.table,9/17/15 15:08
40,Classification,9/17/15 15:08
40,R Packages,9/17/15 15:08
40,R,9/17/15 15:08
40,dplyr,9/17/15 15:08
40,ggplot2,9/17/15 15:08
40,Regression,9/17/15 15:08
40,Pandas,9/17/15 15:08
40,Matplotlib,9/17/15 15:08
40,Python,9/17/15 15:08
41,R,9/17/15 13:07
41,Statistics,9/17/15 13:07
42,Econometrics,9/17/15 12:28
42,Python,9/17/15 12:28
42,HadleyVerse,9/17/15 12:28
42,Behavioural Science,9/17/15 12:28
42,Visualisation,9/17/15 12:28
42,Presentation Skills,9/17/15 12:28
42,Causal Reasoning,9/17/15 12:28
42,Problem Definition Skills,9/17/15 12:28
42,R,9/17/15 12:28
43,Statistics,9/17/15 3:39
43,GIS,9/17/15 3:39
43,Regressions,9/17/15 3:39
43,Data Visualization,9/17/15 3:39
43,Data Munging,9/17/15 3:39
44,Sampling Statistics,9/16/15 18:49
44,Algorithms,9/16/15 18:49
45,ggplot,9/16/15 13:47
45,Github,9/16/15 13:47
45,Descriptive Statistics,9/16/15 13:47
45,Algorithms,9/16/15 13:47
45,Data Visualization,9/16/15 13:47
46,Text Mining,9/16/15 0:22
46,Supervised Learning,9/16/15 0:22
46,Bayesian Statistics,9/16/15 0:22
46,Unsupervised Learning,9/16/15 0:22
47,Estimation ,9/15/15 20:34
47,Bayesian Inference,9/15/15 20:34
47,Regression,9/15/15 20:34
47,SVM,9/15/15 20:34
47,Probability,9/15/15 20:34
47,Logistic,9/15/15 20:34
47,Estimation ,9/15/15 20:34
47,Bayesian Inference,9/15/15 20:34
47,Regression,9/15/15 20:34
47,SVM,9/15/15 20:34
47,Probability,9/15/15 20:34
47,Logistic,9/15/15 20:34
48,Data Piping,9/15/15 18:07
48,Statistics,9/15/15 18:07
48,Machine Learning,9/15/15 18:07
48,Modeling,9/15/15 18:07
49,Spark,9/15/15 17:54
49,SQL,9/15/15 17:54
49,R,9/15/15 17:54
49,Python,9/15/15 17:54
50,Conditional Random Fields,9/15/15 16:44
50,Reshape,9/15/15 16:44
50,Glm,9/15/15 16:44
51,Conditional Random Fields,9/15/15 15:43
51,Regex,9/15/15 15:43
51,Cross-Validation,9/15/15 15:43
51,Named Entity Recognition,9/15/15 15:43
51,Relation Extraction,9/15/15 15:43
51,Recommendations,9/15/15 15:43
51,Text Mining,9/15/15 15:43
51,Elasticsearch,9/15/15 15:43
51,Support Vector Machines,9/15/15 15:43
51,Distributed Search,9/15/15 15:43
51,Distributed Storage,9/15/15 15:43
52,Random Forest,9/15/15 15:15
52,Cluster Analysis,9/15/15 15:15
52,Neural Networks,9/15/15 15:15
52,Linear & Logistic Regression,9/15/15 15:15
52,Multivariate Calculus,9/15/15 15:15
53,Regression,9/15/15 15:09
53,Excel,9/15/15 15:09
54,Glm,9/15/15 13:32
54,Neural Networks,9/15/15 13:32
54,SVM,9/15/15 13:32
54,Tree Boost,9/15/15 13:32
54,Linear & Logistic Regression,9/15/15 13:32
55,EEG Brainwave Data,9/15/15 13:15
55,Cognitive Psychology Experiment Behavioral Data,9/15/15 13:15
56,Hive,9/15/15 11:29
56,Hadoop,9/15/15 11:29
56,Excel,9/15/15 11:29
56,Spark,9/15/15 11:29
56,sps,9/15/15 11:29
56, Python Library,9/15/15 11:29
56,R,9/15/15 11:29
57,Natural Language Processing,9/15/15 10:24
57,Classification,9/15/15 10:24
58,Machine Learning,9/15/15 10:10
58,lxml,9/15/15 10:10
58,Spark,9/15/15 10:10
58,Scikitlearn,9/15/15 10:10
58,iPython Notebook,9/15/15 10:10
58,Pandas,9/15/15 10:10
59,Machine Learning,9/15/15 10:06
59,MapReduce,9/15/15 10:06
59,Scikit-Learn,9/15/15 10:06
59,SPSS,9/15/15 10:06
59,Pandas,9/15/15 10:06
59,Time-Series Approaches,9/15/15 10:06
59,Classification,9/15/15 10:06
59,Time Series,9/15/15 10:06
59,Clustering,9/15/15 10:06
59,Predictive Analytics,9/15/15 10:06
59,Regressions,9/15/15 10:06
59,Unsupervised,9/15/15 10:06
59,Spark,9/15/15 10:06
59,NLTK,9/15/15 10:06
59,Statistical Analysis,9/15/15 10:06
60,Multivariate Analysis,9/15/15 9:28
60,Clustering,9/15/15 9:28
60,Statistics,9/15/15 9:28
61,Databases,9/15/15 9:14
61,Tableau,9/15/15 9:14
61,R,9/15/15 9:14
61,SQL,9/15/15 9:14
61,R Studio,9/15/15 9:14
62,Probability,9/15/15 8:52
62,R,9/15/15 8:52
62,Regressions,9/15/15 8:50
62,MS Excel,9/15/15 8:50
62,Time Series,9/15/15 8:49
62,Modeling,9/15/15 8:49
63,Cluster Analysis,9/15/15 7:47
63,Logistic Regression,9/15/15 7:47
63,Statistical Analysis,9/15/15 7:47
63,R,9/15/15 7:47
63,Linear Regression,9/15/15 7:47
63,MS Excel,9/15/15 7:47
63,ggplot,9/15/15 7:47
63,QlikView,9/15/15 7:47
64,Hadoop,9/14/15 16:57
64,Python,9/14/15 16:57
64,Spark,9/14/15 16:57
65,NoSQL,9/14/15 15:19
65,Caret,9/14/15 15:19
65,Regression,9/14/15 15:19
65,R,9/14/15 15:19
65,dplyr,9/14/15 15:19
65,SQL,9/14/15 15:19
65,Cross-Validation,9/14/15 15:19
65,Pandas,9/14/15 15:19
65,Python,9/14/15 15:19
65,ggplot,9/14/15 15:19
65,Trees and Forests,9/14/15 15:19
65,Scikit-Learn,9/14/15 15:19
65,Haven,9/14/15 15:19
65,Probability,9/14/15 15:19
65,Design of Experiments,9/14/15 15:19
65,Spark,9/14/15 15:19
65,AWS,9/14/15 15:19
66,MySQL,9/14/15 13:12
66,Java,9/14/15 13:12
